"Iterations","Rewards","Time","Steps"
"737","-5.26","136","28"
"738","-5.33","157","35"
"739","4.17","163","85"
"740","4.66","147","36"
"741","4.7299999999999995","187","29"
"742","4.77","151","25"
"743","4.85","161","17"
"744","4.83","122","19"
"745","4.76","142","26"
"746","4.77","126","25"
"747","3.499999999999999","190","152"
"748","4.6","144","42"
"749","4.79","206","23"
"750","-7.08","202","210"
"751","4.68","141","34"
"752","4.83","162","19"
"753","4.49","132","53"
"754","4.41","145","61"
"755","-5.390000000000001","157","41"
"756","4.78","163","24"
"757","4.82","182","20"
"758","-5.19","142","21"
"759","4.209999999999999","193","81"
"760","-6.370000000000001","130","139"
"761","4.71","173","31"
"762","4.5","144","52"
"763","4.42","157","60"
"764","4.3999999999999995","126","62"
"765","4.529999999999999","166","49"
"766","-6.120000000000001","153","114"
"767","3.9499999999999993","151","107"
"768","4.81","149","21"
"769","4.6899999999999995","185","33"
"770","-5.23","164","25"
"771","-10.549999999999926","149","557"
"772","-5.21","162","23"
"773","4.41","185","61"
"774","3.389999999999999","150","163"
"775","4.75","154","27"
"776","4.359999999999999","130","66"
"777","3.1499999999999986","165","187"
"778","4.83","200","19"
"779","4.7299999999999995","178","29"
"780","4.77","167","25"
"781","4.569999999999999","173","45"
"782","4.569999999999999","184","45"
"783","4.77","162","25"
"784","4.18","175","84"
"785","4.74","159","28"
"786","4.59","155","43"
"787","4.63","173","39"
"788","4.72","145","30"
"789","4.609999999999999","211","41"
"790","4.569999999999999","131","45"
"791","4.78","157","24"
"792","4.54","149","48"
"793","4.76","162","26"
"794","4.78","170","24"
"795","4.79","193","23"
"796","-5.28","164","30"
"797","4.79","138","23"
"798","4.47","187","55"
"799","4.55","193","47"
"800","4.77","134","25"
"801","1.8300000000000236","165","319"
"802","4.39","187","63"
"803","-5.22","164","24"
"804","4.79","164","23"
"805","4.81","168","21"
"806","4.78","168","24"
"807","4.68","168","34"
"808","-10.549999999999926","158","557"
"809","4.83","154","19"
"810","4.55","141","47"
"811","4.83","173","19"
"812","4.64","168","38"
"813","-5.14","185","16"
"814","4.62","166","40"
"815","4.52","163","50"
"816","3.8599999999999994","168","116"
"817","4.7","184","32"
"818","4.6499999999999995","158","37"
"819","2.8300000000000023","161","219"
"820","4.609999999999999","170","41"
"821","-5.23","184","25"
"822","4.529999999999999","202","49"
"823","4.58","166","44"
"824","4.82","160","20"
"825","4.62","156","40"
"826","-5.74","153","76"
"827","4.75","172","27"
"828","4.56","197","46"
"829","4.58","206","44"
"830","4.56","210","46"
"831","4.64","175","38"
"832","-5.640000000000001","194","66"
"833","4.75","196","27"
"834","3.4399999999999986","340","158"
"835","-5.430000000000001","316","45"
"836","2.130000000000017","211","289"
"837","-5.2700000000000005","173","29"
"838","4.75","161","27"
"839","4.4799999999999995","149","54"
"840","4.33","204","69"
"841","4.369999999999999","207","65"
"842","4.63","153","39"
"843","-5.640000000000001","203","66"
"844","-5.61","185","63"
"845","4.79","171","23"
"846","4.74","170","28"
"847","4.119999999999999","220","90"
"848","4.279999999999999","196","74"
"849","4.6499999999999995","155","37"
"850","4.68","206","34"
"851","4.35","189","67"
"852","4.8","178","22"
"853","4.81","202","21"
"854","4.79","205","23"
"855","4.76","161","26"
"856","4.369999999999999","173","65"
"857","4.43","168","59"
"858","4.569999999999999","159","45"
"859","4.54","210","48"
"860","4.25","171","77"
"861","-5.3500000000000005","174","37"
"862","4.18","176","84"
"863","-5.2700000000000005","194","29"
"864","4.64","172","38"
"865","4.84","175","18"
"866","4.609999999999999","176","41"
"867","4.71","184","31"
"868","4.81","178","21"
"869","4.66","177","36"
"870","-5.53","201","55"
"871","4.82","174","20"
"872","4.75","194","27"
"873","4.569999999999999","221","45"
"874","4.74","201","28"
"875","4.7","181","32"
"876","4.55","180","47"
"877","3.9099999999999993","226","111"
"878","3.139999999999999","230","188"
"879","4.8","160","22"
"880","4.7","197","32"
"881","3.2899999999999987","176","173"
"882","4.26","183","76"
"883","-5.36","194","38"
"884","-5.390000000000001","170","41"
"885","4.72","190","30"
"886","4.56","186","46"
"887","-5.470000000000001","210","49"
"888","3.1299999999999986","173","189"
"889","4.56","177","46"
"890","-5.2700000000000005","180","29"
"891","-6.589999999999797","187","1161"
"892","4.76","151","26"
"893","4.6","197","42"
"894","4.83","193","19"
"895","4.569999999999999","171","45"
"896","4.76","161","26"
"897","-5.4","171","42"
"898","4.1","219","92"
"899","-5.59","188","61"
"900","4.18","182","84"
"901","4.67","172","35"
"902","3.459999999999999","175","156"
"903","-6.15","199","117"
"904","4.68","194","34"
"905","-5.21","169","23"
"906","-7.439999999999992","212","246"
"907","4.6","172","42"
"908","4.47","199","55"
"909","4.8","190","22"
"910","4.199999999999999","193","82"
"911","4.54","201","48"
"912","4.8","176","22"
"913","4.6899999999999995","168","33"
"914","-5.23","213","25"
"915","-5.26","201","28"
"916","4.77","184","25"
"917","4.31","172","71"
"918","4.79","226","23"
"919","3.8899999999999992","200","113"
"920","4.8","214","22"
"921","4.8","180","22"
"922","-5.16","180","18"
"923","4.84","153","18"
"924","4.7","193","32"
"925","4.72","166","30"
"926","-5.94","192","96"
"927","4.75","182","27"
"928","4.34","170","68"
"929","4.58","204","44"
"930","4.3999999999999995","201","62"
"931","4.63","210","39"
"932","4.3999999999999995","199","62"
"933","4.77","207","25"
"934","4.76","232","26"
"935","-5.390000000000001","212","41"
"936","4.7","170","32"
"937","-5.42","206","44"
"938","4.72","218","30"
"939","4.02","200","100"
"940","-5.45","177","47"
"941","4.76","165","26"
"942","-6.390000000000001","168","141"
"943","4.7","178","32"
"944","4.51","205","51"
"945","4.58","198","44"
"946","4.3999999999999995","208","62"
"947","3.689999999999999","209","133"
"948","-5.390000000000001","219","41"
"949","4.33","188","69"
"950","-5.83","222","85"
"951","4.75","185","27"
"952","-5.28","197","30"
"953","4.78","145","24"
"954","4.71","198","31"
"955","4.68","194","34"
"956","4.79","199","23"
"957","4.6899999999999995","212","33"
"958","-5.61","190","63"
"959","4.75","193","27"
"960","4.81","229","21"
"961","4.68","209","34"
"962","4.54","171","48"
"963","-3.319999999999867","187","834"
"964","4.71","217","31"
"965","4.49","240","53"
"966","4.6899999999999995","359","33"
"967","4.7299999999999995","342","29"
"968","-5.430000000000001","236","45"
"969","4.46","202","56"
"970","3.489999999999999","211","153"
"971","4.81","281","21"
"972","4.6899999999999995","255","33"
"973","4.75","181","27"
"974","4.79","211","23"
"975","4.59","199","43"
"976","4.39","242","63"
"977","4.209999999999999","225","81"
"978","1.810000000000024","253","321"
"979","4.81","216","21"
"980","4.209999999999999","199","81"
"981","-5.61","174","63"
"982","4.52","204","50"
"983","4.82","209","20"
"984","4.72","209","30"
"985","4.72","193","30"
"986","4.63","189","39"
"987","-5.26","224","28"
"988","4.7","243","32"
"989","-5.41","196","43"
"990","4.86","242","16"
"991","4.75","214","27"
"992","4.83","228","19"
"993","4.8","190","22"
"994","4.6899999999999995","193","33"
"995","-5.74","183","76"
"996","4.58","200","44"
"997","4.74","210","28"
"998","4.6899999999999995","196","33"
"999","3.919999999999999","199","110"
"1000","4.81","174","21"
"1001","4.83","205","19"
"1002","4.63","242","39"
"1003","-5.28","225","30"
"1004","4.81","246","21"
"1005","4.449999999999999","196","57"
"1006","4.77","234","25"
"1007","4.79","186","23"
"1008","4.6899999999999995","225","33"
"1009","4.63","211","39"
"1010","-5.23","214","25"
"1011","4.17","216","85"
"1012","3.4399999999999986","205","158"
"1013","3.749999999999999","221","127"
"1014","-5.890000000000001","232","91"
"1015","4.38","222","64"
"1016","4.62","220","40"
"1017","4.63","199","39"
"1018","4.82","225","20"
"1019","4.63","193","39"
"1020","-5.38","229","40"
"1021","4.77","186","25"
"1022","3.569999999999999","209","145"
"1023","4.83","187","19"
"1024","4.84","191","18"
"1025","4.46","262","56"
"1026","4.569999999999999","222","45"
"1027","-5.930000000000001","208","95"
"1028","4.77","200","25"
